Region,Country,Item Type,Sales Channel,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
6,71,3,1,6/7/2012,994022214,6/8/2012,2117,205.7,117.11
6,12,4,1,8/2/2014,939825713,8/19/2014,4168,109.28,35.84
6,38,4,1,4/25/2015,610425555,5/28/2015,7342,109.28,35.84
6,17,5,1,4/7/2014,259353148,4/19/2014,7215,437.2,263.33
6,55,5,1,10/11/2013,699358165,11/25/2013,4477,437.2,263.33
6,58,6,1,9/17/2013,508980977,10/24/2013,7637,9.33,6.92
6,2,7,1,4/23/2011,135425221,4/27/2011,4187,668.27,502.54
6,42,7,1,11/6/2014,986435210,12/12/2014,6954,668.27,502.54
6,44,7,1,2/10/2012,665095412,2/15/2012,5367,668.27,502.54
6,71,7,1,5/26/2012,886494815,6/9/2012,2370,668.27,502.54
6,41,9,1,1/11/2012,837559306,1/13/2012,1266,651.21,524.96
6,55,9,1,2/1/2013,115456712,2/6/2013,5062,651.21,524.96
6,61,9,1,11/26/2011,441888415,1/7/2012,3457,651.21,524.96
6,62,9,1,12/6/2016,621386563,12/14/2016,948,651.21,524.96
6,22,10,1,7/8/2012,228944623,7/9/2012,8656,81.73,56.67
6,24,10,1,2/17/2012,430915820,3/20/2012,6422,81.73,56.67
6,42,10,1,7/30/2015,559427106,8/8/2015,5767,81.73,56.67
6,52,10,1,7/14/2015,770463311,8/25/2015,6070,81.73,56.67
6,66,10,1,12/29/2013,406502997,1/28/2014,2125,81.73,56.67
6,63,12,1,6/1/2016,728815257,6/29/2016,1485,154.06,90.93
6,16,2,2,5/26/2011,585920464,7/15/2011,5741,47.45,31.79
6,17,3,2,5/20/2017,555990016,6/17/2017,8656,205.7,117.11
6,60,3,2,4/18/2014,616607081,5/30/2014,6593,205.7,117.11
6,15,4,2,6/8/2012,114606559,6/27/2012,3482,109.28,35.84
6,40,4,2,7/26/2011,512878119,9/3/2011,888,109.28,35.84
6,34,6,2,8/18/2013,918419539,9/18/2013,9606,9.33,6.92
6,40,6,2,5/7/2010,686048400,5/10/2010,5822,9.33,6.92
6,58,6,2,6/20/2014,514321792,7/5/2014,8102,9.33,6.92
6,71,8,2,1/14/2017,825304400,1/23/2017,4767,421.89,364.69
6,11,9,2,11/7/2011,177636754,11/15/2011,5518,651.21,524.96
6,48,10,2,3/11/2017,699285638,3/28/2017,3015,81.73,56.67
6,17,11,2,2/25/2017,756274640,2/25/2017,7327,152.58,97.44
6,75,11,2,1/4/2011,122583663,1/5/2011,4085,152.58,97.44
6,10,12,2,7/17/2012,871543967,7/27/2012,8082,154.06,90.93
6,28,12,2,3/18/2012,827844560,4/7/2012,6457,154.06,90.93
